CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
41,HUILA,41551,PITALITO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,19119,15931,18440,12,PERGAMINO SECO
41,HUILA,41551,PITALITO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,18508,15477,17216,11,PERGAMINO SECO
41,HUILA,41551,PITALITO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,18319,15150,17236,11,PERGAMINO SECO
41,HUILA,41006,ACEVEDO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,14634,11774,14049,12,PERGAMINO SECO
73,TOLIMA,73555,PLANADAS,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,14417,11902,13450,11,PERGAMINO SECO
41,HUILA,41006,ACEVEDO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,14377,11913,13251,11,PERGAMINO SECO
41,HUILA,41006,ACEVEDO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,14348,11842,13472,11,PERGAMINO SECO
73,TOLIMA,73555,PLANADAS,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,13463,11109,9575,9,PERGAMINO SECO
73,TOLIMA,73555,PLANADAS,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,13083,10529,8873,8,PERGAMINO SECO
47,MAGDALENA,47189,CIENAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,11691,10093,9920,1,PERGAMINO SECO
47,MAGDALENA,47189,CIENAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,11564,10242,6744,7,PERGAMINO SECO
41,HUILA,41396,LA PLATA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,11403,9305,10885,12,PERGAMINO SECO
41,HUILA,41396,LA PLATA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,11206,9499,10234,11,PERGAMINO SECO
41,HUILA,41396,LA PLATA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,11203,9514,10022,11,PERGAMINO SECO
47,MAGDALENA,47189,CIENAGA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,10877,9564,5946,6,PERGAMINO SECO
73,TOLIMA,73067,ATACO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,10856,8989,10120,11,PERGAMINO SECO
73,TOLIMA,73067,ATACO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,10745,9044,9145,1,PERGAMINO SECO
73,TOLIMA,73067,ATACO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,10432,9054,9364,1,PERGAMINO SECO
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,10380,7648,9888,13,PERGAMINO SECO
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,10354,8230,10029,12,PERGAMINO SECO
5,ANTIOQUIA,5034,ANDES,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,10349,7487,9463,13,PERGAMINO SECO
5,ANTIOQUIA,5101,CIUDAD BOLIVAR,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,10129,8112,9849,12,PERGAMINO SECO
5,ANTIOQUIA,5101,CIUDAD BOLIVAR,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,10063,7374,11439,16,PERGAMINO SECO
5,ANTIOQUIA,5101,CIUDAD BOLIVAR,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,10013,7416,11249,15,PERGAMINO SECO
41,HUILA,41298,GARZON,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,9680,8048,9177,11,PERGAMINO SECO
19,CAUCA,19256,EL TAMBO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,9511,7588,8899,12,PERGAMINO SECO
41,HUILA,41298,GARZON,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,9487,7820,8567,11,PERGAMINO SECO
41,HUILA,41298,GARZON,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,9421,7770,8706,11,PERGAMINO SECO
73,TOLIMA,73411,LIBANO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,9058,7714,8528,11,PERGAMINO SECO
19,CAUCA,19256,EL TAMBO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,8998,7629,11571,15,PERGAMINO SECO
73,TOLIMA,73411,LIBANO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,8938,7494,5683,8,PERGAMINO SECO
73,TOLIMA,73001,IBAGUE,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,8893,7560,8000,11,PERGAMINO SECO
73,TOLIMA,73001,IBAGUE,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,8889,7826,6745,9,PERGAMINO SECO
73,TOLIMA,73001,IBAGUE,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,8832,7527,6342,8,PERGAMINO SECO
73,TOLIMA,73411,LIBANO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,8680,7292,5657,8,PERGAMINO SECO
19,CAUCA,19548,PIENDAMO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,8508,6686,8082,12,PERGAMINO SECO
19,CAUCA,19548,PIENDAMO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,8494,7134,9426,13,PERGAMINO SECO
19,CAUCA,19256,EL TAMBO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,8428,7294,11315,16,PERGAMINO SECO
19,CAUCA,19548,PIENDAMO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,8307,6986,9440,14,PERGAMINO SECO
5,ANTIOQUIA,5642,SALGAR,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,7857,5929,11057,19,PERGAMINO SECO
5,ANTIOQUIA,5642,SALGAR,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,7843,6091,7638,13,PERGAMINO SECO
5,ANTIOQUIA,5642,SALGAR,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,7807,5760,10504,18,PERGAMINO SECO
73,TOLIMA,73168,CHAPARRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,7721,6675,7044,11,PERGAMINO SECO
73,TOLIMA,73168,CHAPARRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,7668,6608,6098,9,PERGAMINO SECO
66,RISARALDA,66088,BELEN DE UMBRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,7664,6246,7201,12,PERGAMINO SECO
73,TOLIMA,73168,CHAPARRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,7578,6658,6284,9,PERGAMINO SECO
19,CAUCA,19130,CAJIBIO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,7557,6471,6580,1,PERGAMINO SECO
73,TOLIMA,73624,ROVIRA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,7444,6264,6880,11,PERGAMINO SECO
66,RISARALDA,66088,BELEN DE UMBRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,7343,5571,7981,14,PERGAMINO SECO
66,RISARALDA,66088,BELEN DE UMBRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,7249,5582,8179,15,PERGAMINO SECO
19,CAUCA,19473,MORALES,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,7205,5825,6569,11,PERGAMINO SECO
19,CAUCA,19473,MORALES,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,7041,5957,7530,13,PERGAMINO SECO
41,HUILA,41668,SAN AGUSTIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,6985,5871,6701,11,PERGAMINO SECO
19,CAUCA,19473,MORALES,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,6980,5983,7735,13,PERGAMINO SECO
41,HUILA,41770,SUAZA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,6920,5556,6643,12,PERGAMINO SECO
41,HUILA,41770,SUAZA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,6908,5545,6213,11,PERGAMINO SECO
19,CAUCA,19130,CAJIBIO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,6905,5910,8964,15,PERGAMINO SECO
5,ANTIOQUIA,5209,CONCORDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,6886,4938,6695,14,PERGAMINO SECO
5,ANTIOQUIA,5209,CONCORDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,6880,5306,9896,19,PERGAMINO SECO
19,CAUCA,19130,CAJIBIO,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,6860,6123,9500,16,PERGAMINO SECO
41,HUILA,41770,SUAZA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,6849,5671,6212,11,PERGAMINO SECO
5,ANTIOQUIA,5209,CONCORDIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,6843,5116,9328,18,PERGAMINO SECO
20,CESAR,20013,AGUSTIN CODAZZI,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,6767,5828,5340,9,PERGAMINO SECO
20,CESAR,20013,AGUSTIN CODAZZI,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2018,6742,6145,3820,6,PERGAMINO SECO
20,CESAR,20013,AGUSTIN CODAZZI,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2017,6667,6030,3971,7,PERGAMINO SECO
17,CALDAS,17001,MANIZALES,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,6583,4990,6249,13,PERGAMINO SECO
5,ANTIOQUIA,5093,BETULIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,6570,5441,6281,12,PERGAMINO SECO
17,CALDAS,17042,ANSERMA,OTROS PERMANENTES,CAFE,CAFE,CAFE,10020101,COFFEA ARABICA,2016,6510,5066,6221,12,PERGAMINO SECO
